#chrom	chromStart	chromEnd	name	gieStain
chr1	114680052	114680500	chr1:114680151:114680400:142381420	gpos100
chr1	115251027	115251471	chr1:115251126:115251371:142381424	gpos100
chr1	115252056	115252506	chr1:115252155:115252406:142381425	gpos100
chr1	115256245	115256574	chr1:115256344:115256605:142381426	gpos100
chr1	115256575	115256907	chr1:115256542:115256807:142381427	gpos100
chr1	115258543	115259003	chr1:115258642:115258903:142381428	gpos100
chr1	120457700	120457995	chr1:120457799:120458032:142381728	gpos100
chr1	120457996	120458142	chr1:120457957:120458182:142381729	gpos100
chr1	120458143	120458290	chr1:120458101:120458327:142381730	gpos100
chr1	120458291	120458439	chr1:120458253:120458478:142381731	gpos100
chr1	120458440	120458583	chr1:120458399:120458624:142381732	gpos100
chr1	120458584	120458735	chr1:120458541:120458767:142381733	gpos100
chr1	120458736	120458897	chr1:120458703:120458928:142381734	gpos100
chr1	120458898	120459081	chr1:120458865:120459108:142381735	gpos100
chr1	120459082	120459253	chr1:120459053:120459280:142381736	gpos100
chr1	120459254	120459586	chr1:120459225:120459486:142381737	gpos100
chr1	120461799	120462141	chr1:120461898:120462168:142381738	gpos100
chr1	120462142	120462453	chr1:120462114:120462353:142381739	gpos100
chr1	120464727	120465053	chr1:120464826:120465080:142381740	gpos100
chr1	120465054	120465381	chr1:120465026:120465281:142381741	gpos100
chr1	120509924	120510239	chr1:120510023:120510266:142381742	gpos100
chr1	120510240	120510552	chr1:120510211:120510452:142381743	gpos100
chr1	120539486	120539790	chr1:120539585:120539817:142381744	gpos100
chr1	120539791	120540092	chr1:120539763:120539992:142381745	gpos100
chr1	120547820	120548146	chr1:120547919:120548172:142381746	gpos100
chr1	120548147	120548450	chr1:120548119:120548350:142381747	gpos100
chr1	150550580	150550878	chr1:150550679:150550905:142382396	gpos100
chr1	150550879	150551200	chr1:150550851:150551112:142382397	gpos100
chr1	150551201	150551504	chr1:150551288:150551530:142382398	gpos100
chr1	150551505	150551695	chr1:150551478:150551720:142382399	gpos100
chr1	150551696	150551870	chr1:150551670:150551896:142382400	gpos100
chr1	150551871	150552216	chr1:150551844:150552116:142382401	gpos100
chr1	150619813	150620239	chr1:150619912:150620139:142382402	gpos100
chr1	150730046	150730490	chr1:150730145:150730390:142382404	gpos100
chr1	151917518	151917990	chr1:151917617:151917890:142382409	gpos100
chr1	153001160	153001588	chr1:153001259:153001488:142382429	gpos100
chr1	154401840	154402266	chr1:154401939:154402166:142382450	gpos100
chr1	154573833	154574307	chr1:154573932:154574207:142382451	gpos100
chr1	155870046	155870358	chr1:155870145:155870385:142382453	gpos100
chr1	155870359	155870688	chr1:155870331:155870588:142382454	gpos100
chr1	155873878	155874208	chr1:155873977:155874235:142382455	gpos100
chr1	155874209	155874389	chr1:155874181:155874416:142382456	gpos100
chr1	155874390	155874583	chr1:155874361:155874610:142382457	gpos100
chr1	155874584	155874908	chr1:155874555:155874808:142382458	gpos100
chr1	156202041	156202505	chr1:156202140:156202405:142382461	gpos100
chr1	156314491	156314947	chr1:156314590:156314847:142382462	gpos100
chr1	157621089	157621553	chr1:157621188:157621453:142382467	gpos100
chr1	158484242	158484704	chr1:158484341:158484604:142382470	gpos100
chr1	158621025	158621455	chr1:158621124:158621355:142382471	gpos100
chr1	158624326	158624786	chr1:158624425:158624686:142382472	gpos100
chr1	160246337	160246765	chr1:160246436:160246665:142382475	gpos100
chr1	160886752	160887178	chr1:160886851:160887078:142382477	gpos100
chr1	162303863	162304333	chr1:162303962:162304233:142382480	gpos100
chr1	163802838	163803280	chr1:163802937:163803180:142382484	gpos100
chr1	165353076	165353522	chr1:165353175:165353422:142382486	gpos100
chr1	166950324	166950786	chr1:166950423:166950686:142382487	gpos100
chr1	168574562	168575012	chr1:168574661:168574912:142382489	gpos100
chr1	171138471	171138931	chr1:171138570:171138831:142382495	gpos100
chr1	171767931	171768405	chr1:171768030:171768305:142382496	gpos100
chr1	173399598	173400036	chr1:173399697:173399936:142382498	gpos100
chr1	175325422	175325864	chr1:175325521:175325764:142382501	gpos100
chr1	175362504	175362970	chr1:175362603:175362870:142382502	gpos100
chr1	177381186	177381640	chr1:177381285:177381540:142379926	gpos100
chr1	177901581	177902048	chr1:177901680:177901948:142379927	gpos100
chr1	179354788	179355218	chr1:179354887:179355118:142379962	gpos100
chr1	181032023	181032461	chr1:181032122:181032361:142379964	gpos100
chr1	182403965	182404401	chr1:182404064:182404301:142379967	gpos100
chr1	183842911	183843369	chr1:183843010:183843269:142379969	gpos100
chr1	184851246	184851680	chr1:184851345:184851580:142379971	gpos100
chr1	186471169	186471623	chr1:186471268:186471523:142379974	gpos100
chr1	187840423	187840879	chr1:187840522:187840779:142379978	gpos100
chr1	189139786	189140260	chr1:189139885:189140160:142379980	gpos100
chr1	189620144	189620608	chr1:189620243:189620508:142379982	gpos100
chr1	190082724	190083194	chr1:190082823:190083094:142379983	gpos100
chr1	191176254	191176720	chr1:191176353:191176620:142379985	gpos100
chr1	192730371	192730835	chr1:192730470:192730735:142379988	gpos100
chr1	195739992	195740444	chr1:195740091:195740344:142379991	gpos100
chr1	196658471	196658927	chr1:196658570:196658827:142379993	gpos100
chr1	198469100	198469536	chr1:198469199:198469436:142379995	gpos100
chr1	200284198	200284632	chr1:200284297:200284532:142379996	gpos100
chr1	203509904	203510370	chr1:203510003:203510270:142379997	gpos100
chr1	204506420	204506860	chr1:204506519:204506760:142379998	gpos100
chr1	204507203	204507639	chr1:204507302:204507539:142379999	gpos100
chr1	204511776	204512248	chr1:204511875:204512148:142380000	gpos100
chr1	204513523	204513955	chr1:204513622:204513855:142380001	gpos100
chr1	204515789	204516245	chr1:204515888:204516145:142380002	gpos100
chr1	204518107	204518405	chr1:204518206:204518432:142380003	gpos100
chr1	204518406	204518588	chr1:204518378:204518615:142380004	gpos100
chr1	204518589	204518774	chr1:204518560:204518801:142380005	gpos100
chr1	204518775	204519075	chr1:204518746:204518975:142380006	gpos100
chr1	205336411	205336849	chr1:205336510:205336749:142380007	gpos100
chr1	207300127	207300585	chr1:207300226:207300485:142380009	gpos100
chr1	207758079	207758509	chr1:207758178:207758409:142380010	gpos100
chr1	208300202	208300626	chr1:208300301:208300526:142380011	gpos100
chr1	210468020	210468470	chr1:210468119:210468370:142380013	gpos100
chr1	214476427	214476883	chr1:214476526:214476783:142380032	gpos100
chr1	214962629	214963089	chr1:214962728:214962989:142380033	gpos100
chr1	215339003	215339471	chr1:215339102:215339371:142380034	gpos100
chr1	216989831	216990263	chr1:216989930:216990163:142380035	gpos100
chr1	219001527	219001989	chr1:219001626:219001889:142380036	gpos100
chr1	220275174	220275644	chr1:220275273:220275544:142380037	gpos100
chr1	221345089	221345535	chr1:221345188:221345435:142380038	gpos100
chr1	221874799	221875223	chr1:221874898:221875123:142380039	gpos100
chr1	222553736	222554166	chr1:222553835:222554066:142380040	gpos100
chr1	224284241	224284697	chr1:224284340:224284597:142380041	gpos100
chr1	226795843	226796293	chr1:226795942:226796193:142380042	gpos100
chr1	228119151	228119577	chr1:228119250:228119477:142380043	gpos100
chr1	229205945	229206419	chr1:229206044:229206319:142380044	gpos100
chr1	230725690	230726115	chr1:230725789:230726015:142380045	gpos100
chr1	231656280	231656754	chr1:231656379:231656654:142380046	gpos100
chr1	234137713	234138161	chr1:234137812:234138061:142380048	gpos100
chr1	236700836	236701261	chr1:236700935:236701161:142380049	gpos100
chr1	237685980	237686451	chr1:237686079:237686351:142380050	gpos100
chr1	239857374	239857806	chr1:239857473:239857706:142380051	gpos100
chr1	241159184	241159646	chr1:241159283:241159546:142380052	gpos100
chr1	242561971	242562445	chr1:242562070:242562345:142380053	gpos100
chr1	243675402	243675711	chr1:243675501:243675739:142380054	gpos100
chr1	243675712	243676010	chr1:243675683:243675910:142380055	gpos100
chr1	243708674	243709112	chr1:243708773:243709012:142380056	gpos100
chr1	243715895	243716241	chr1:243715994:243716269:142380057	gpos100
chr1	243716242	243716557	chr1:243716212:243716457:142380411	gpos100
chr1	243726886	243727358	chr1:243726985:243727258:142380412	gpos100
chr1	243736086	243736548	chr1:243736185:243736448:142380413	gpos100
chr1	243778262	243778728	chr1:243778361:243778628:142380414	gpos100
chr1	243800769	243801239	chr1:243800868:243801139:142380415	gpos100
chr1	243809051	243809478	chr1:243809150:243809378:142380416	gpos100
chr1	243827938	243828407	chr1:243828037:243828307:142380417	gpos100
chr1	243858689	243859010	chr1:243858788:243859037:142380418	gpos100
chr1	243859011	243859355	chr1:243858982:243859255:142380419	gpos100
chr1	244006295	244006749	chr1:244006394:244006649:142380420	gpos100
chr1	244393876	244394337	chr1:244393975:244394237:142380421	gpos100
chr1	245558448	245558904	chr1:245558547:245558804:142380422	gpos100
chr1	247584443	247584908	chr1:247584542:247584808:142380423	gpos100
chr1	247587521	247587995	chr1:247587620:247587895:142380424	gpos100
chr2	0	243199373	chr1	gneg
chr2	7774482	7774938	chr2:7774581:7774838:142380079	gpos100
chr2	9098585	9099033	chr2:9098684:9098933:142380089	gpos100
chr2	10932073	10932513	chr2:10932172:10932413:142380111	gpos100
chr2	21230302	21230727	chr2:21230401:21230627:142380493	gpos100
chr2	25064059	25064525	chr2:25064158:25064425:142380563	gpos100
chr2	25457019	25457457	chr2:25457118:25457357:142380571	gpos100
chr2	25458448	25458886	chr2:25458547:25458786:142380572	gpos100
chr2	25461853	25462295	chr2:25461952:25462195:142380573	gpos100
chr2	25463041	25463350	chr2:25463140:25463376:142380574	gpos100
chr2	25463351	25463551	chr2:25463324:25463577:142380575	gpos100
chr2	25463552	25463877	chr2:25463524:25463777:142380576	gpos100
chr2	25464297	25464734	chr2:25464396:25464634:142380577	gpos100
chr2	25466639	25466986	chr2:25466738:25467010:142380578	gpos100
chr2	25466987	25467211	chr2:25466962:25467236:142380579	gpos100
chr2	25467212	25467399	chr2:25467186:25467426:142380580	gpos100
chr2	25467400	25467728	chr2:25467372:25467628:142380581	gpos100
chr2	25467988	25468444	chr2:25468087:25468344:142380582	gpos100
chr2	25468753	25469057	chr2:25468852:25469083:142380583	gpos100
chr2	25469058	25469359	chr2:25469030:25469301:142380584	gpos100
chr2	25469360	25469791	chr2:25469416:25469691:142380585	gpos100
chr2	25470326	25470754	chr2:25470425:25470654:142380586	gpos100
chr2	25470778	25471096	chr2:25470877:25471123:142380587	gpos100
chr2	25471097	25471416	chr2:25471069:25471316:142380588	gpos100
chr2	25497674	25498098	chr2:25497773:25497998:142380589	gpos100
chr2	25505154	25505490	chr2:25505253:25505516:142380590	gpos100
chr2	25505491	25505804	chr2:25505463:25505704:142380591	gpos100
chr2	25522796	25523268	chr2:25522895:25523168:142380592	gpos100
chr2	29415963	29416282	chr2:29416062:29416308:142380822	gpos100
chr2	29416283	29416504	chr2:29416256:29416530:142380823	gpos100
chr2	29416505	29416725	chr2:29416478:29416752:142380824	gpos100
chr2	29416726	29417037	chr2:29416698:29416937:142380825	gpos100
chr2	29432516	29432968	chr2:29432615:29432868:142380827	gpos100
chr2	29443440	29443888	chr2:29443539:29443788:142380830	gpos100
chr2	29445014	29445486	chr2:29445113:29445386:142380831	gpos100
chr2	29519622	29520070	chr2:29519721:29519970:142380842	gpos100
chr2	29917586	29918038	chr2:29917685:29917938:142380946	gpos100
chr2	30142729	30143051	chr2:30142828:30143078:142381149	gpos100
chr2	30143052	30143244	chr2:30143024:30143269:142381150	gpos100
chr2	30143245	30143464	chr2:30143218:30143488:142381151	gpos100
chr2	30143465	30143814	chr2:30143440:30143714:142381152	gpos100
chr2	39082212	39082654	chr2:39082311:39082554:142381593	gpos100
chr2	39281640	39282080	chr2:39281739:39281980:142381595	gpos100
chr2	61705726	61706044	chr2:61705825:61706072:142380297	gpos100
chr2	61706045	61706390	chr2:61706015:61706290:142380298	gpos100
chr2	61709379	61709652	chr2:61709478:61709681:142380299	gpos100
chr2	61709653	61709989	chr2:61709622:61709889:142380300	gpos100
chr2	61719034	61719349	chr2:61719133:61719377:142380301	gpos100
chr2	61719350	61719521	chr2:61719321:61719548:142380302	gpos100
chr2	61719522	61719717	chr2:61719493:61719744:142380303	gpos100
chr2	61719718	61720024	chr2:61719689:61719924:142380304	gpos100
chr2	61720895	61721210	chr2:61720994:61721237:142380305	gpos100
chr2	61721211	61721537	chr2:61721182:61721437:142380306	gpos100
chr2	63193964	63194296	chr2:63194063:63194323:142380316	gpos100
chr2	63194297	63194483	chr2:63194269:63194510:142380317	gpos100
chr2	63194484	63194812	chr2:63194455:63194712:142380318	gpos100
chr2	71633255	71633725	chr2:71633354:71633625:142380653	gpos100
chr2	86337796	86338268	chr2:86337895:86338168:142380711	gpos100
chr2	108998164	108998597	chr2:108998263:108998497:142381335	gpos100
chr2	112748378	112748852	chr2:112748477:112748752:142381413	gpos100
chr2	112752867	112753297	chr2:112752966:112753197:142381414	gpos100
chr2	118281710	118282174	chr2:118281809:118282074:142381670	gpos100
chr2	119751965	119752410	chr2:119752064:119752310:142381723	gpos100
chr2	130832863	130833299	chr2:130832962:130833199:142381836	gpos100
chr2	145158639	145159085	chr2:145158738:145158985:142382161	gpos100
chr2	170938394	170938850	chr2:170938493:170938750:142382494	gpos100
chr2	174946249	174946707	chr2:174946348:174946607:142382500	gpos100
chr2	178098665	178099095	chr2:178098764:178098995:142379928	gpos100
chr2	198266704	198267170	chr2:198266803:198267070:142379994	gpos100
chr2	207040917	207041347	chr2:207041016:207041247:142380008	gpos100
chr2	209112979	209113437	chr2:209113078:209113337:142380012	gpos100
chr2	212248201	212248547	chr2:212248300:212248573:142380014	gpos100
chr2	212248548	212248738	chr2:212248520:212248766:142380015	gpos100
chr2	212248739	212249037	chr2:212248710:212248937:142380016	gpos100
chr2	212251444	212251771	chr2:212251543:212251798:142380017	gpos100
chr2	212251772	212252076	chr2:212251743:212251976:142380018	gpos100
chr2	212288744	212289200	chr2:212288843:212289100:142380019	gpos100
chr2	212295536	212295970	chr2:212295635:212295870:142380020	gpos100
chr2	212426492	212426797	chr2:212426591:212426824:142380021	gpos100
chr2	212426798	212427123	chr2:212426769:212427023:142380022	gpos100
chr2	212529916	212530362	chr2:212530015:212530262:142380023	gpos100
chr2	212566522	212566854	chr2:212566621:212566881:142380024	gpos100
chr2	212566855	212567194	chr2:212566827:212567094:142380025	gpos100
chr2	212586886	212587193	chr2:212586985:212587220:142380026	gpos100
chr2	212587194	212587514	chr2:212587165:212587414:142380027	gpos100
chr2	212652606	212653040	chr2:212652705:212652940:142380028	gpos100
chr2	212812019	212812324	chr2:212812118:212812351:142380029	gpos100
chr2	212812325	212812631	chr2:212812296:212812531:142380030	gpos100
chr2	212989343	212989786	chr2:212989442:212989686:142380031	gpos100
chr2	232326283	232326729	chr2:232326382:232326629:142380047	gpos100
chr3	0	198022430	chr1	gneg
chr3	10183310	10183608	chr3:10183409:10183643:142380098	gpos100
chr3	10183609	10183771	chr3:10183573:10183803:142380099	gpos100
chr3	10183772	10184068	chr3:10183739:10183968:142380100	gpos100
chr3	10188066	10188520	chr3:10188165:10188420:142380101	gpos100
chr3	10191337	10191795	chr3:10191436:10191695:142380102	gpos100
chr3	11599803	11600251	chr3:11599902:11600151:142380148	gpos100
chr3	12625884	12626183	chr3:12625983:12626210:142380163	gpos100
chr3	12626184	12626359	chr3:12626155:12626386:142380164	gpos100
chr3	12626360	12626566	chr3:12626331:12626592:142380165	gpos100
chr3	12626567	12626909	chr3:12626539:12626809:142380166	gpos100
chr3	12627044	12627498	chr3:12627143:12627398:142380167	gpos100
chr3	12632131	12632438	chr3:12632230:12632465:142380168	gpos100
chr3	12632439	12632751	chr3:12632410:12632651:142380169	gpos100
chr3	12633071	12633507	chr3:12633170:12633407:142380170	gpos100
chr3	12641058	12641486	chr3:12641157:12641386:142380171	gpos100
chr3	12641517	12641846	chr3:12641616:12641873:142380172	gpos100
chr3	12641847	12642183	chr3:12641818:12642083:142380173	gpos100
chr3	12645503	12645935	chr3:12645602:12645835:142380174	gpos100
chr3	12647556	12648020	chr3:12647655:12647920:142380175	gpos100
chr3	12650129	12650555	chr3:12650228:12650455:142380176	gpos100
chr3	12650600	12651030	chr3:12650699:12650930:142380177	gpos100
chr3	12653315	12653739	chr3:12653414:12653639:142380178	gpos100
chr3	12659870	12660172	chr3:12659969:12660199:142380179	gpos100
chr3	12660173	12660474	chr3:12660145:12660374:142380180	gpos100
chr3	13677919	13678385	chr3:13678018:13678285:142380194	gpos100
chr3	30045569	30046039	chr3:30045668:30045939:142380950	gpos100
chr3	37035144	37035588	chr3:37035243:37035488:142381484	gpos100
chr3	37037974	37038398	chr3:37038073:37038298:142381485	gpos100
chr3	37042288	37042715	chr3:37042387:37042615:142381486	gpos100
chr3	37045752	37046188	chr3:37045851:37046088:142381487	gpos100
chr3	37053175	37053515	chr3:37053274:37053541:142381488	gpos100
chr3	37053516	37053837	chr3:37053488:37053737:142381489	gpos100
chr3	37055787	37056259	chr3:37055886:37056159:142381490	gpos100
chr3	37058861	37059311	chr3:37058960:37059211:142381491	gpos100
chr3	37061659	37062099	chr3:37061758:37061999:142381492	gpos100
chr3	37066904	37067205	chr3:37067003:37067232:142381493	gpos100
chr3	37067206	37067394	chr3:37067177:37067421:142381494	gpos100
chr3	37067395	37067698	chr3:37067367:37067598:142381495	gpos100
chr3	37070141	37070593	chr3:37070240:37070493:142381496	gpos100
chr3	37081525	37081979	chr3:37081624:37081879:142381497	gpos100
chr3	37083623	37084059	chr3:37083722:37083959:142381498	gpos100
chr3	37088878	37089334	chr3:37088977:37089234:142381499	gpos100
chr3	37089876	37090287	chr3:37089975:37090218:142381500	gpos100
chr3	37090288	37090725	chr3:37090356:37090625:142381501	gpos100
chr3	37091843	37092273	chr3:37091942:37092173:142381502	gpos100
chr3	38180019	38180366	chr3:38180118:38180392:142381548	gpos100
chr3	38180367	38180714	chr3:38180340:38180614:142381549	gpos100
chr3	38181225	38181649	chr3:38181324:38181549:142381550	gpos100
chr3	38181764	38182073	chr3:38181863:38182100:142381551	gpos100
chr3	38182074	38182286	chr3:38182045:38182312:142381552	gpos100
chr3	38182287	38182465	chr3:38182259:38182492:142381553	gpos100
chr3	38182466	38182656	chr3:38182437:38182683:142381554	gpos100
chr3	38182657	38182986	chr3:38182629:38182886:142381555	gpos100
chr3	41240747	41241191	chr3:41240846:41241091:142381844	gpos100
chr3	41265426	41265831	chr3:41265525:41265778:142381876	gpos100
chr3	41265832	41266081	chr3:41265884:41266109:142381877	gpos100
chr3	41266082	41266235	chr3:41266052:41266278:142381878	gpos100
chr3	41266236	41266374	chr3:41266192:41266417:142381879	gpos100
chr3	41266375	41266517	chr3:41266330:41266556:142381880	gpos100
chr3	41266518	41266661	chr3:41266478:41266703:142381881	gpos100
chr3	41266662	41266803	chr3:41266618:41266844:142381882	gpos100
chr3	41266804	41267007	chr3:41266762:41267034:142381883	gpos100
chr3	41267008	41267215	chr3:41266980:41267242:142381884	gpos100
chr3	41267216	41267533	chr3:41267188:41267433:142381885	gpos100
chr3	41268551	41268989	chr3:41268650:41268889:142381886	gpos100
chr3	41274696	41275035	chr3:41274795:41275060:142381887	gpos100
chr3	41275036	41275238	chr3:41275009:41275265:142381888	gpos100
chr3	41275239	41275425	chr3:41275211:41275452:142381889	gpos100
chr3	41275426	41275637	chr3:41275397:41275664:142381890	gpos100
chr3	41275638	41275980	chr3:41275609:41275880:142381891	gpos100
chr3	41277081	41277539	chr3:41277180:41277439:142381893	gpos100
chr3	41277698	41277998	chr3:41277797:41278024:142381895	gpos100
chr3	41277999	41278197	chr3:41277971:41278224:142381896	gpos100
chr3	41278198	41278496	chr3:41278169:41278396:142381897	gpos100
chr3	41279373	41279839	chr3:41279472:41279739:142381898	gpos100
chr3	41280493	41280967	chr3:41280592:41280867:142381899	gpos100
chr3	44612516	44612974	chr3:44612615:44612874:142381964	gpos100
chr3	49397511	49397963	chr3:49397610:49397863:142382289	gpos100
chr3	49399795	49400243	chr3:49399894:49400143:142382290	gpos100
chr3	49405731	49406155	chr3:49405830:49406055:142382291	gpos100
chr3	49412733	49413199	chr3:49412832:49413099:142382292	gpos100
chr3	50609488	50609950	chr3:50609587:50609850:142382368	gpos100
chr3	51248062	51248510	chr3:51248161:51248410:142382371	gpos100
chr3	52820883	52821333	chr3:52820982:52821233:142379718	gpos100
chr3	53817222	53817667	chr3:53817321:53817567:142379726	gpos100
chr3	54600309	54600761	chr3:54600408:54600661:142379729	gpos100
chr3	55802617	55803057	chr3:55802716:55802957:142379787	gpos100
chr3	56582381	56582831	chr3:56582480:56582731:142379845	gpos100
chr3	57998852	57999316	chr3:57998951:57999216:142380258	gpos100
chr3	58634333	58634787	chr3:58634432:58634687:142380279	gpos100
chr3	59491056	59491516	chr3:59491155:59491416:142380284	gpos100
chr3	61187065	61187489	chr3:61187164:61187389:142380295	gpos100
chr3	69928149	69928459	chr3:69928248:69928485:142380626	gpos100
chr3	69928460	69928773	chr3:69928432:69928673:142380627	gpos100
chr3	69986839	69987170	chr3:69986938:69987198:142380630	gpos100
chr3	69987171	69987498	chr3:69987142:69987398:142380631	gpos100
chr3	69988115	69988589	chr3:69988214:69988489:142380632	gpos100
chr3	69990251	69990690	chr3:69990350:69990590:142380633	gpos100
chr3	69998066	69998524	chr3:69998165:69998424:142380634	gpos100
chr3	70000848	70001302	chr3:70000947:70001202:142380635	gpos100
chr3	70005472	70005896	chr3:70005571:70005796:142380636	gpos100
chr3	70008288	70008734	chr3:70008387:70008634:142380637	gpos100
chr3	70013862	70014170	chr3:70013961:70014197:142380638	gpos100
chr3	70014171	70014341	chr3:70014143:70014368:142380639	gpos100
chr3	70014342	70014642	chr3:70014313:70014542:142380640	gpos100
chr3	70871861	70872191	chr3:70871960:70872218:142380646	gpos100
chr3	70872192	70872515	chr3:70872164:70872415:142380647	gpos100
chr3	71821580	71822030	chr3:71821679:71821930:142380655	gpos100
chr3	95176543	95177014	chr3:95176642:95176914:142380962	gpos100
chr3	97202650	97203108	chr3:97202749:97203008:142380971	gpos100
chr3	101058641	101059097	chr3:101058740:101058997:142381047	gpos100
chr3	111981780	111982224	chr3:111981879:111982124:142381345	gpos100
chr3	121633768	121634204	chr3:121633867:121634104:142381749	gpos100
chr3	124951036	124951464	chr3:124951135:124951364:142381781	gpos100
chr3	130714679	130715145	chr3:130714778:130715045:142381834	gpos100
chr3	132250750	132251174	chr3:132250849:132251074:142381839	gpos100
chr3	137068543	137068983	chr3:137068642:137068883:142382057	gpos100
chr3	137409123	137409547	chr3:137409222:137409447:142382059	gpos100
chr3	139320503	139320955	chr3:139320602:139320855:142382062	gpos100
chr3	140956116	140956582	chr3:140956215:140956482:142382137	gpos100
chr3	141164797	141165271	chr3:141164896:141165171:142382139	gpos100
chr3	142176304	142176774	chr3:142176403:142176674:142382142	gpos100
chr3	142177933	142178363	chr3:142178032:142178263:142382143	gpos100
chr3	142187959	142188290	chr3:142188058:142188317:142382144	gpos100
chr3	142188291	142188637	chr3:142188262:142188537:142382145	gpos100
chr3	142230936	142231267	chr3:142231035:142231294:142382147	gpos100
chr3	142231268	142231596	chr3:142231239:142231496:142382148	gpos100
chr3	142274569	142274883	chr3:142274668:142274910:142382149	gpos100
chr3	142274884	142275187	chr3:142274856:142275087:142382150	gpos100
chr3	142281050	142281380	chr3:142281149:142281409:142382151	gpos100
chr3	142281381	142281549	chr3:142281351:142281576:142382152	gpos100
chr3	142281550	142281730	chr3:142281521:142281757:142382153	gpos100
chr3	142281731	142281900	chr3:142281703:142281928:142382154	gpos100
chr3	142281901	142282240	chr3:142281871:142282140:142382155	gpos100
chr3	143403580	143404012	chr3:143403679:143403912:142382157	gpos100
chr3	144541932	144542380	chr3:144542031:144542280:142382159	gpos100
chr3	145790669	145791099	chr3:145790768:145790999:142382163	gpos100
chr3	146310567	146311005	chr3:146310666:146310905:142382164	gpos100
chr3	148824276	148824700	chr3:148824375:148824600:142382189	gpos100
chr3	150682823	150683272	chr3:150682922:150683172:142382403	gpos100
chr3	151150503	151150977	chr3:151150602:151150877:142382405	gpos100
chr3	151922136	151922584	chr3:151922235:151922484:142382410	gpos100
chr3	152868110	152868572	chr3:152868209:152868472:142382428	gpos100
chr3	154079505	154079933	chr3:154079604:154079833:142382449	gpos100
chr3	156156189	156156635	chr3:156156288:156156535:142382460	gpos100
chr3	156570520	156570944	chr3:156570619:156570844:142382463	gpos100
chr3	157226664	157227088	chr3:157226763:157226988:142382466	gpos100
chr3	158415863	158416333	chr3:158415962:158416233:142382469	gpos100
chr3	160370771	160371227	chr3:160370870:160371127:142382476	gpos100
chr3	161574442	161574874	chr3:161574541:161574774:142382478	gpos100
chr3	162748216	162748664	chr3:162748315:162748564:142382482	gpos100
